date,open,high,low,close,volume
2024-01-01 09:15:00+05:30,520.85,526.8,519.8,525.25,293610
2024-01-01 09:30:00+05:30,525.05,525.15,523.15,523.75,73986
2024-01-01 09:45:00+05:30,523.75,524.25,522.4,523.3,47852
2024-01-01 10:00:00+05:30,523.3,524.8,522.8,524.6,56976
2024-01-01 10:15:00+05:30,524.3,525.0,524.0,524.0,48250
2024-01-01 10:30:00+05:30,523.9,528.45,523.1,526.6,292444
2024-01-01 10:45:00+05:30,526.6,527.7,525.8,527.25,76855
2024-01-01 11:00:00+05:30,527.25,527.25,524.3,525.15,49203
2024-01-01 11:15:00+05:30,524.95,525.9,523.9,525.45,28282
2024-01-01 11:30:00+05:30,525.45,527.2,525.0,527.0,30645
2024-01-01 11:45:00+05:30,527.15,529.9,526.5,529.9,178077
2024-01-01 12:00:00+05:30,529.8,531.0,529.0,531.0,277494
2024-01-01 12:15:00+05:30,531.0,531.9,528.8,528.9,169926
2024-01-01 12:30:00+05:30,528.7,537.5,528.0,537.45,719368
2024-01-01 12:45:00+05:30,537.45,537.95,534.05,536.0,302398
2024-01-01 13:00:00+05:30,536.0,536.65,533.8,534.2,125354
2024-01-01 13:15:00+05:30,534.2,535.4,533.75,534.75,77993
2024-01-01 13:30:00+05:30,534.75,535.05,533.7,534.75,56698
2024-01-01 13:45:00+05:30,534.75,535.8,534.7,534.75,67077
2024-01-01 14:00:00+05:30,534.7,535.65,534.2,535.4,55946
2024-01-01 14:15:00+05:30,535.4,536.4,534.35,536.4,67123
2024-01-01 14:30:00+05:30,536.4,539.3,536.2,537.5,253558
2024-01-01 14:45:00+05:30,537.5,539.7,536.3,538.2,335456
2024-01-01 15:00:00+05:30,538.2,538.95,533.0,533.4,278482
2024-01-01 15:15:00+05:30,533.4,534.65,530.0,530.2,241103
2024-01-02 09:15:00+05:30,537.0,537.0,528.1,531.45,368367
2024-01-02 09:30:00+05:30,531.3,533.15,530.25,532.8,133838
2024-01-02 09:45:00+05:30,533.05,533.5,525.55,526.15,183248
2024-01-02 10:00:00+05:30,526.15,529.0,525.0,526.9,225117
2024-01-02 10:15:00+05:30,526.9,528.1,522.45,522.85,127596
2024-01-02 10:30:00+05:30,522.8,522.9,518.5,520.2,210149
2024-01-02 10:45:00+05:30,520.5,523.95,520.0,523.5,103510
2024-01-02 11:00:00+05:30,523.75,523.75,520.55,521.5,75444
2024-01-02 11:15:00+05:30,521.5,525.85,520.85,524.65,72577
2024-01-02 11:30:00+05:30,524.65,526.8,523.25,526.3,58147
2024-01-02 11:45:00+05:30,526.15,526.7,525.0,525.4,47484
2024-01-02 12:00:00+05:30,525.4,530.65,525.4,530.3,108524
2024-01-02 12:15:00+05:30,530.3,531.2,529.1,529.9,112879
2024-01-02 12:30:00+05:30,529.65,530.25,528.65,528.8,47299
2024-01-02 12:45:00+05:30,528.8,529.4,528.0,528.25,22036
2024-01-02 13:00:00+05:30,528.25,528.75,526.15,528.55,53040
2024-01-02 13:15:00+05:30,528.55,529.75,527.2,527.8,52921
2024-01-02 13:30:00+05:30,528.0,529.0,527.6,527.8,20453
