date,open,high,low,close,volume
2024-01-01 09:15:00+05:30,211.95,211.95,209.0,209.45,1332750
2024-01-01 09:30:00+05:30,209.45,210.05,209.2,209.4,364040
2024-01-01 09:45:00+05:30,209.4,210.5,209.4,210.25,500216
2024-01-01 10:00:00+05:30,210.25,210.4,209.9,209.95,192194
2024-01-01 10:15:00+05:30,210.0,210.1,209.5,209.85,191816
2024-01-01 10:30:00+05:30,209.85,210.05,209.55,209.75,137588
2024-01-01 10:45:00+05:30,209.75,210.35,209.55,210.05,259714
2024-01-01 11:00:00+05:30,210.05,210.35,209.95,210.0,122592
2024-01-01 11:15:00+05:30,210.0,210.15,209.75,209.95,131714
2024-01-01 11:30:00+05:30,209.95,210.1,209.7,210.05,126220
2024-01-01 11:45:00+05:30,210.05,210.75,209.85,210.15,678816
2024-01-01 12:00:00+05:30,210.15,210.3,209.75,209.95,156950
2024-01-01 12:15:00+05:30,209.95,210.15,209.7,209.8,105050
2024-01-01 12:30:00+05:30,209.8,209.9,209.55,209.6,90560
2024-01-01 12:45:00+05:30,209.65,209.7,209.25,209.45,174414
2024-01-01 13:00:00+05:30,209.45,209.45,209.35,209.4,67596
2024-01-01 13:15:00+05:30,209.45,209.65,209.35,209.5,88388
2024-01-01 13:30:00+05:30,209.45,209.55,209.3,209.4,76200
2024-01-01 13:45:00+05:30,209.45,209.65,209.4,209.45,118252
2024-01-01 14:00:00+05:30,209.45,209.75,209.35,209.35,176272
2024-01-01 14:15:00+05:30,209.4,209.45,208.85,208.9,232026
2024-01-01 14:30:00+05:30,208.9,209.2,208.8,209.05,127434
2024-01-01 14:45:00+05:30,209.1,209.4,209.0,209.2,184294
2024-01-01 15:00:00+05:30,209.35,209.35,208.35,208.5,363840
2024-01-01 15:15:00+05:30,208.5,208.7,207.95,208.2,797560
2024-01-02 09:15:00+05:30,208.6,209.25,207.65,208.9,628364
2024-01-02 09:30:00+05:30,208.9,210.1,208.75,209.65,513732
2024-01-02 09:45:00+05:30,209.75,210.5,208.8,208.8,530724
2024-01-02 10:00:00+05:30,208.65,209.45,208.65,209.1,273216
2024-01-02 10:15:00+05:30,209.15,209.25,207.5,207.6,435512
2024-01-02 10:30:00+05:30,207.5,208.25,206.75,207.75,528244
2024-01-02 10:45:00+05:30,207.75,208.8,207.4,208.6,316096
2024-01-02 11:00:00+05:30,208.6,208.75,207.8,208.0,138352
2024-01-02 11:15:00+05:30,208.1,208.6,207.8,208.5,136020
2024-01-02 11:30:00+05:30,208.5,208.95,208.25,208.75,174628
2024-01-02 11:45:00+05:30,208.75,208.8,208.35,208.8,79138
2024-01-02 12:00:00+05:30,208.75,208.95,208.65,208.85,99222
2024-01-02 12:15:00+05:30,208.9,209.3,208.8,209.05,113488
2024-01-02 12:30:00+05:30,209.1,210.95,209.05,210.3,1005002
2024-01-02 12:45:00+05:30,210.3,210.5,209.65,209.85,398842
2024-01-02 13:00:00+05:30,209.95,209.95,209.05,209.35,213856
2024-01-02 13:15:00+05:30,209.35,209.65,209.15,209.45,200564
2024-01-02 13:30:00+05:30,209.45,210.05,209.35,209.85,199622
2024-01-02 13:45:00+05:30,209.85,210.25,209.7,209.85,161096
2024-01-02 14:00:00+05:30,209.85,210.4,209.7,210.35,293148
2024-01-02 14:15:00+05:30,210.35,210.75,209.95,210.35,557214
2024-01-02 14:30:00+05:30,210.4,210.85,210.35,210.55,332256
2024-01-02 14:45:00+05:30,210.55,211.95,210.4,210.5,972594
2024-01-02 15:00:00+05:30,210.5,210.85,210.15,210.55,525374
2024-01-02 15:15:00+05:30,210.55,210.75,210.35,210.45,537952
2024-01-03 09:15:00+05:30,212.25,212.25,210.9,211.6,935052
2024-01-03 09:30:00+05:30,211.6,211.85,210.3,210.6,571262
2024-01-03 09:45:00+05:30,210.65,211.35,209.95,211.05,591080
2024-01-03 10:00:00+05:30,211.05,212.15,210.75,211.75,534120
2024-01-03 10:15:00+05:30,211.8,211.85,210.65,211.6,309910
2024-01-03 10:30:00+05:30,211.6,213.35,211.4,212.5,1142734
2024-01-03 10:45:00+05:30,212.6,213.35,212.4,212.85,827504
2024-01-03 11:00:00+05:30,212.8,213.1,212.6,212.8,329094
2024-01-03 11:15:00+05:30,212.7,213.1,212.45,212.6,196632
2024-01-03 11:30:00+05:30,212.6,212.85,212.15,212.7,200232
2024-01-03 11:45:00+05:30,212.7,213.35,212.7,213.15,370026
2024-01-03 12:00:00+05:30,213.2,213.8,213.05,213.35,508046
2024-01-03 12:15:00+05:30,213.35,213.55,212.6,212.9,229844
2024-01-03 12:30:00+05:30,212.85,214.7,212.6,214.0,2060462
2024-01-03 12:45:00+05:30,214.0,214.05,213.3,213.55,286922
2024-01-03 13:00:00+05:30,213.55,213.75,213.45,213.45,196878
2024-01-03 13:15:00+05:30,213.45,214.3,213.25,214.3,1361024
2024-01-03 13:30:00+05:30,214.3,214.45,213.8,214.45,615748
2024-01-03 13:45:00+05:30,214.45,214.55,213.75,213.8,775194
2024-01-03 14:00:00+05:30,213.8,214.05,213.4,213.4,271922
2024-01-03 14:15:00+05:30,213.4,213.55,212.85,213.0,273198
2024-01-03 14:30:00+05:30,213.05,213.2,212.5,213.0,282656
2024-01-03 14:45:00+05:30,212.95,213.8,212.9,213.45,500412
