date,open,high,low,close,volume
2024-01-01 09:15:00+05:30,318.05,320.8,317.55,320.05,120863
2024-01-01 09:30:00+05:30,320.0,320.0,318.3,318.85,26993
2024-01-01 09:45:00+05:30,318.85,319.25,318.4,318.8,19966
2024-01-01 10:00:00+05:30,318.8,319.4,318.7,318.85,19163
2024-01-01 10:15:00+05:30,319.1,319.2,318.1,318.75,17211
2024-01-01 10:30:00+05:30,318.75,319.0,318.2,318.65,15262
2024-01-01 10:45:00+05:30,318.6,318.75,316.85,317.8,38902
2024-01-01 11:00:00+05:30,318.0,318.45,317.75,318.05,9283
2024-01-01 11:15:00+05:30,318.05,319.25,318.05,319.25,28356
2024-01-01 11:30:00+05:30,319.25,319.5,319.1,319.3,19052
2024-01-01 11:45:00+05:30,319.25,319.7,319.0,319.4,15010
2024-01-01 12:00:00+05:30,319.4,319.4,318.05,318.7,10968
2024-01-01 12:15:00+05:30,318.7,318.8,317.8,318.2,12433
2024-01-01 12:30:00+05:30,318.2,318.5,317.75,318.3,11116
2024-01-01 12:45:00+05:30,318.3,318.95,318.2,318.8,14298
2024-01-01 13:00:00+05:30,318.75,318.9,318.15,318.6,8151
2024-01-01 13:15:00+05:30,318.4,319.0,318.05,318.7,12286
2024-01-01 13:30:00+05:30,318.7,318.95,318.35,318.45,11531
2024-01-01 13:45:00+05:30,318.45,318.9,318.15,318.7,9288
2024-01-01 14:00:00+05:30,318.7,318.85,318.45,318.75,6336
2024-01-01 14:15:00+05:30,318.75,318.95,318.05,318.35,14522
2024-01-01 14:30:00+05:30,318.35,318.95,318.1,318.85,12307
2024-01-01 14:45:00+05:30,318.85,318.9,318.25,318.5,11997
2024-01-01 15:00:00+05:30,318.5,319.0,318.1,318.7,27036
2024-01-01 15:15:00+05:30,318.7,318.75,317.55,318.0,61763
2024-01-02 09:15:00+05:30,318.35,319.2,316.05,317.0,36733
2024-01-02 09:30:00+05:30,317.0,318.5,317.0,317.95,59579
2024-01-02 09:45:00+05:30,318.05,318.6,316.25,316.4,28866
2024-01-02 10:00:00+05:30,316.4,317.05,315.6,316.2,22389
2024-01-02 10:15:00+05:30,316.2,316.3,314.5,315.1,31667
2024-01-02 10:30:00+05:30,315.1,315.35,312.7,314.45,56058
2024-01-02 10:45:00+05:30,314.45,315.0,313.9,314.5,20258
2024-01-02 11:00:00+05:30,314.7,314.95,314.05,314.35,16433
2024-01-02 11:15:00+05:30,314.35,314.95,314.05,314.85,9921
2024-01-02 11:30:00+05:30,314.85,314.95,314.05,314.95,19654
2024-01-02 11:45:00+05:30,314.95,315.0,314.55,314.75,5778
2024-01-02 12:00:00+05:30,314.85,315.0,314.3,314.85,13458
2024-01-02 12:15:00+05:30,314.85,315.0,314.25,314.4,10219
2024-01-02 12:30:00+05:30,314.4,314.85,314.0,314.5,8236
2024-01-02 12:45:00+05:30,314.5,314.85,314.5,314.6,5347
2024-01-02 13:00:00+05:30,314.7,316.4,314.5,316.3,29359
2024-01-02 13:15:00+05:30,316.4,317.6,316.35,317.25,70442
2024-01-02 13:30:00+05:30,317.5,317.5,316.6,316.6,5760
2024-01-02 13:45:00+05:30,316.6,317.0,316.5,316.55,9177
2024-01-02 14:00:00+05:30,316.85,317.0,316.05,316.75,10841
2024-01-02 14:15:00+05:30,316.75,316.95,316.4,316.75,8690
2024-01-02 14:30:00+05:30,316.75,316.95,316.4,316.65,5195
2024-01-02 14:45:00+05:30,316.65,317.0,316.4,316.9,9581
2024-01-02 15:00:00+05:30,316.9,318.25,316.75,317.3,28009
2024-01-02 15:15:00+05:30,317.3,317.65,316.1,316.5,27824
2024-01-03 09:15:00+05:30,320.1,322.0,318.6,319.2,173151
2024-01-03 09:30:00+05:30,319.2,319.3,318.1,318.2,40080
2024-01-03 09:45:00+05:30,318.2,319.8,318.15,319.2,43812
2024-01-03 10:00:00+05:30,319.2,319.2,318.6,319.0,21246
2024-01-03 10:15:00+05:30,319.0,319.15,318.2,318.75,25836
2024-01-03 10:30:00+05:30,318.75,319.0,318.55,318.9,12484
2024-01-03 10:45:00+05:30,318.9,319.0,318.2,318.8,14809
2024-01-03 11:00:00+05:30,318.8,319.55,318.6,319.15,19232
2024-01-03 11:15:00+05:30,319.15,319.4,318.7,318.95,30021
2024-01-03 11:30:00+05:30,318.95,319.25,318.6,318.95,8479
