date,open,high,low,close,volume
2024-01-01 09:15:00+05:30,88.8,88.9,88.1,88.25,2616459
2024-01-01 09:30:00+05:30,88.25,88.3,88.0,88.1,1601320
2024-01-01 09:45:00+05:30,88.05,88.3,88.05,88.25,1082987
2024-01-01 10:00:00+05:30,88.25,88.3,88.05,88.1,1250068
2024-01-01 10:15:00+05:30,88.1,88.1,87.9,87.95,1897845
2024-01-01 10:30:00+05:30,88.0,88.1,87.9,88.0,1227313
2024-01-01 10:45:00+05:30,88.05,88.05,87.8,87.95,1698522
2024-01-01 11:00:00+05:30,87.95,87.95,87.85,87.85,895654
2024-01-01 11:15:00+05:30,87.85,88.0,87.85,87.95,715436
2024-01-01 11:30:00+05:30,87.95,88.0,87.8,87.9,980992
2024-01-01 11:45:00+05:30,87.9,88.0,87.85,87.95,807910
2024-01-01 12:00:00+05:30,88.0,88.15,87.9,88.15,1071573
2024-01-01 12:15:00+05:30,88.15,88.15,88.0,88.05,796295
2024-01-01 12:30:00+05:30,88.0,88.1,87.95,88.0,605395
2024-01-01 12:45:00+05:30,88.05,88.15,87.95,88.15,763962
2024-01-01 13:00:00+05:30,88.15,88.2,87.95,88.05,1670782
2024-01-01 13:15:00+05:30,88.05,88.1,87.95,88.0,1303126
2024-01-01 13:30:00+05:30,88.0,88.1,87.95,88.05,1060145
2024-01-01 13:45:00+05:30,88.0,88.1,88.0,88.1,512176
2024-01-01 14:00:00+05:30,88.1,88.15,88.0,88.15,636125
2024-01-01 14:15:00+05:30,88.1,88.25,88.05,88.05,1892898
2024-01-01 14:30:00+05:30,88.05,88.2,88.0,88.05,1529144
2024-01-01 14:45:00+05:30,88.05,88.15,87.95,88.0,1609933
2024-01-01 15:00:00+05:30,88.0,88.05,87.75,87.8,2939022
2024-01-01 15:15:00+05:30,87.8,87.8,87.6,87.75,2569277
2024-01-02 09:15:00+05:30,87.9,87.95,87.25,87.35,2134765
2024-01-02 09:30:00+05:30,87.3,87.55,87.05,87.55,1427501
2024-01-02 09:45:00+05:30,87.55,87.65,87.0,87.1,1662805
2024-01-02 10:00:00+05:30,87.1,87.45,86.95,87.1,1489419
2024-01-02 10:15:00+05:30,87.05,87.2,86.4,86.4,2184805
2024-01-02 10:30:00+05:30,86.4,86.55,85.75,86.2,2850752
2024-01-02 10:45:00+05:30,86.2,86.5,86.05,86.3,2038393
2024-01-02 11:00:00+05:30,86.3,86.3,85.6,86.0,2571229
2024-01-02 11:15:00+05:30,86.0,86.25,85.9,86.15,1008419
2024-01-02 11:30:00+05:30,86.15,86.25,85.9,86.1,932626
2024-01-02 11:45:00+05:30,86.1,86.2,85.95,86.2,724758
2024-01-02 12:00:00+05:30,86.2,86.2,85.95,86.1,480687
2024-01-02 12:15:00+05:30,86.1,86.25,86.05,86.2,480418
2024-01-02 12:30:00+05:30,86.2,86.4,86.15,86.4,490058
2024-01-02 12:45:00+05:30,86.4,86.5,86.3,86.45,531070
2024-01-02 13:00:00+05:30,86.5,86.5,86.1,86.3,709617
2024-01-02 13:15:00+05:30,86.3,86.35,85.9,86.05,2118529
2024-01-02 13:30:00+05:30,86.05,86.15,85.95,86.15,773969
2024-01-02 13:45:00+05:30,86.15,86.2,86.0,86.15,731797
2024-01-02 14:00:00+05:30,86.1,86.4,86.1,86.4,773773
2024-01-02 14:15:00+05:30,86.35,86.4,86.1,86.3,744276
2024-01-02 14:30:00+05:30,86.25,86.55,86.2,86.45,896800
2024-01-02 14:45:00+05:30,86.45,86.5,86.3,86.35,583418
2024-01-02 15:00:00+05:30,86.3,86.6,85.9,86.15,2523010
2024-01-02 15:15:00+05:30,86.15,86.15,85.75,86.0,4036252
2024-01-03 09:15:00+05:30,86.0,86.0,84.55,85.6,5457213
2024-01-03 09:30:00+05:30,85.6,85.75,85.05,85.2,2069918
2024-01-03 09:45:00+05:30,85.25,85.75,85.05,85.45,1822624
2024-01-03 10:00:00+05:30,85.45,85.85,85.4,85.55,1167626
2024-01-03 10:15:00+05:30,85.55,86.25,85.4,86.2,1364531
2024-01-03 10:30:00+05:30,86.2,86.25,86.0,86.15,1026082
2024-01-03 10:45:00+05:30,86.15,86.45,86.1,86.25,1282182
2024-01-03 11:00:00+05:30,86.25,86.4,86.1,86.25,683511
2024-01-03 11:15:00+05:30,86.25,86.45,86.15,86.4,563053
2024-01-03 11:30:00+05:30,86.35,86.75,86.25,86.6,1038021
2024-01-03 11:45:00+05:30,86.65,86.7,86.5,86.55,484754
2024-01-03 12:00:00+05:30,86.55,86.55,86.2,86.3,1233054
2024-01-03 12:15:00+05:30,86.3,86.3,85.6,86.1,1291872
2024-01-03 12:30:00+05:30,86.05,86.2,85.9,86.2,377088
2024-01-03 12:45:00+05:30,86.2,86.4,86.15,86.3,605255
2024-01-03 13:00:00+05:30,86.3,86.55,86.15,86.4,624829
2024-01-03 13:15:00+05:30,86.4,86.5,86.25,86.4,378598
2024-01-03 13:30:00+05:30,86.45,86.45,86.15,86.2,767464
2024-01-03 13:45:00+05:30,86.2,86.25,86.05,86.2,606352
2024-01-03 14:00:00+05:30,86.2,86.5,86.15,86.35,549945
2024-01-03 14:15:00+05:30,86.4,86.55,86.3,86.4,842655
2024-01-03 14:30:00+05:30,86.4,86.5,86.05,86.15,941249
2024-01-03 14:45:00+05:30,86.15,86.5,86.1,86.25,902590
2024-01-03 15:00:00+05:30,86.25,86.45,85.9,86.0,2455877
2024-01-03 15:15:00+05:30,85.95,86.2,85.9,86.2,2214586
2024-01-04 09:15:00+05:30,86.2,86.95,86.2,86.85,1307776
2024-01-04 09:30:00+05:30,86.85,87.1,86.8,86.85,912835
2024-01-04 09:45:00+05:30,86.85,86.9,86.6,86.7,685789
2024-01-04 10:00:00+05:30,86.75,86.9,86.5,86.65,893407
2024-01-04 10:15:00+05:30,86.65,86.65,86.4,86.45,758174
2024-01-04 10:30:00+05:30,86.5,86.7,86.45,86.6,577611
2024-01-04 10:45:00+05:30,86.6,86.6,86.4,86.5,470068
2024-01-04 11:00:00+05:30,86.45,86.8,86.45,86.65,679398
2024-01-04 11:15:00+05:30,86.65,87.0,86.65,86.8,974375
2024-01-04 11:30:00+05:30,86.8,86.9,86.7,86.8,391983
2024-01-04 11:45:00+05:30,86.8,86.85,86.7,86.75,485839
2024-01-04 12:00:00+05:30,86.75,86.9,86.7,86.9,324834
2024-01-04 12:15:00+05:30,86.9,86.95,86.75,86.85,285547
2024-01-04 12:30:00+05:30,86.8,86.85,86.65,86.75,297808
2024-01-04 12:45:00+05:30,86.75,86.9,86.7,86.8,368495
2024-01-04 13:00:00+05:30,86.8,86.9,86.75,86.85,292406
2024-01-04 13:15:00+05:30,86.85,87.0,86.8,86.85,727297
2024-01-04 13:30:00+05:30,86.85,86.95,86.6,86.65,774959
2024-01-04 13:45:00+05:30,86.7,86.8,86.6,86.8,371941
2024-01-04 14:00:00+05:30,86.75,86.9,86.7,86.75,354922
2024-01-04 14:15:00+05:30,86.75,87.05,86.75,86.9,876441
2024-01-04 14:30:00+05:30,86.95,87.15,86.85,87.0,658023
2024-01-04 14:45:00+05:30,87.0,87.15,86.95,87.05,684480
2024-01-04 15:00:00+05:30,87.05,87.15,86.85,87.0,1840283
2024-01-04 15:15:00+05:30,87.0,87.2,86.95,87.15,2073709
2024-01-05 09:15:00+05:30,87.3,87.55,87.05,87.25,1556069
2024-01-05 09:30:00+05:30,87.2,87.3,87.05,87.15,915768
2024-01-05 09:45:00+05:30,87.15,87.4,87.05,87.4,801203
2024-01-05 10:00:00+05:30,87.4,87.4,87.15,87.2,456666
2024-01-05 10:15:00+05:30,87.15,87.25,87.0,87.1,874052
2024-01-05 10:30:00+05:30,87.1,87.15,86.8,86.9,1172822
2024-01-05 10:45:00+05:30,86.9,86.95,86.55,86.8,987263
2024-01-05 11:00:00+05:30,86.8,86.95,86.7,86.8,549624
2024-01-05 11:15:00+05:30,86.8,86.8,86.55,86.75,630522
2024-01-05 11:30:00+05:30,86.8,86.8,86.6,86.65,343845
2024-01-05 11:45:00+05:30,86.65,86.7,86.45,86.7,960464
2024-01-05 12:00:00+05:30,86.7,86.7,86.6,86.65,373442
2024-01-05 12:15:00+05:30,86.65,86.7,86.5,86.5,529027
2024-01-05 12:30:00+05:30,86.5,86.7,86.45,86.5,739683
2024-01-05 12:45:00+05:30,86.55,86.7,86.5,86.55,272759
2024-01-05 13:00:00+05:30,86.6,86.7,86.5,86.65,448776
2024-01-05 13:15:00+05:30,86.65,86.95,86.65,86.8,537701
2024-01-05 13:30:00+05:30,86.8,86.85,86.35,86.55,1017304
2024-01-05 13:45:00+05:30,86.55,86.65,86.45,86.65,534339
2024-01-05 14:00:00+05:30,86.65,86.65,86.1,86.2,1153711
2024-01-05 14:15:00+05:30,86.2,86.35,85.9,86.15,2102316
2024-01-05 14:30:00+05:30,86.1,86.4,86.05,86.4,1025072
2024-01-05 14:45:00+05:30,86.4,86.65,86.2,86.55,1282804
2024-01-05 15:00:00+05:30,86.55,86.9,86.55,86.75,2034290
2024-01-05 15:15:00+05:30,86.8,86.8,86.6,86.75,1373653
2024-01-08 09:15:00+05:30,86.75,86.8,86.25,86.3,1613034
2024-01-08 09:30:00+05:30,86.3,86.4,86.0,86.2,1435834
2024-01-08 09:45:00+05:30,86.15,86.35,86.05,86.3,940218
2024-01-08 10:00:00+05:30,86.25,86.35,86.0,86.1,853349
2024-01-08 10:15:00+05:30,86.15,86.2,85.85,86.1,1278530
2024-01-08 10:30:00+05:30,86.05,86.3,85.95,86.05,1178791
2024-01-08 10:45:00+05:30,86.1,86.2,85.9,86.0,791457
2024-01-08 11:00:00+05:30,86.0,86.05,85.55,85.8,1431430
2024-01-08 11:15:00+05:30,85.8,86.0,85.7,85.85,853251
2024-01-08 11:30:00+05:30,85.9,85.9,85.7,85.9,519954
2024-01-08 11:45:00+05:30,85.85,85.9,85.65,85.85,1071715
2024-01-08 12:00:00+05:30,85.85,85.9,85.55,85.7,1083120
2024-01-08 12:15:00+05:30,85.7,85.8,85.6,85.8,716627
2024-01-08 12:30:00+05:30,85.8,86.0,85.7,85.85,1599399
2024-01-08 12:45:00+05:30,85.85,86.1,85.8,86.0,829405
2024-01-08 13:00:00+05:30,86.0,86.2,85.9,86.15,887243
2024-01-08 13:15:00+05:30,86.15,86.25,86.0,86.25,540472
2024-01-08 13:30:00+05:30,86.25,86.3,86.05,86.2,637011
2024-01-08 13:45:00+05:30,86.2,86.4,86.1,86.25,590559
2024-01-08 14:00:00+05:30,86.25,86.3,86.1,86.1,587249
2024-01-08 14:15:00+05:30,86.15,86.25,85.75,85.8,1356831
2024-01-08 14:30:00+05:30,85.9,86.0,85.55,85.6,1339760
2024-01-08 14:45:00+05:30,85.6,85.8,85.5,85.55,1257941
2024-01-08 15:00:00+05:30,85.6,85.7,85.3,85.55,3539410
2024-01-08 15:15:00+05:30,85.55,85.7,85.15,85.55,3555735
2024-01-09 09:15:00+05:30,86.0,86.75,85.9,86.55,1439229
2024-01-09 09:30:00+05:30,86.5,86.65,86.05,86.05,782421
2024-01-09 09:45:00+05:30,86.05,86.2,85.8,85.95,1080848
2024-01-09 10:00:00+05:30,85.95,86.1,85.85,86.05,501944
2024-01-09 10:15:00+05:30,86.05,86.1,85.9,86.0,517904
2024-01-09 10:30:00+05:30,86.0,86.0,85.8,86.0,485690
2024-01-09 10:45:00+05:30,85.95,86.0,85.6,85.7,579643
2024-01-09 11:00:00+05:30,85.7,86.0,85.65,85.95,394274
2024-01-09 11:15:00+05:30,86.0,86.0,85.8,85.9,619666
2024-01-09 11:30:00+05:30,85.85,85.9,85.7,85.7,387160
2024-01-09 11:45:00+05:30,85.7,85.8,85.55,85.55,613727
2024-01-09 12:00:00+05:30,85.55,85.6,85.4,85.45,896768
2024-01-09 12:15:00+05:30,85.45,85.6,85.45,85.5,645810
2024-01-09 12:30:00+05:30,85.55,85.55,85.4,85.45,420638
2024-01-09 12:45:00+05:30,85.4,85.5,85.35,85.5,403423
2024-01-09 13:00:00+05:30,85.5,85.6,85.45,85.6,248253
2024-01-09 13:15:00+05:30,85.55,85.65,85.45,85.5,350298
2024-01-09 13:30:00+05:30,85.5,85.6,85.3,85.35,501038
2024-01-09 13:45:00+05:30,85.35,85.4,85.15,85.25,995607
2024-01-09 14:00:00+05:30,85.25,85.3,84.9,84.95,1553188
2024-01-09 14:15:00+05:30,85.0,85.0,84.5,84.55,1856958
2024-01-09 14:30:00+05:30,84.5,84.8,84.5,84.55,1159444
