date,open,high,low,close,volume
2024-01-01 09:15:00+05:30,124.2,128.39,124.2,127.16,809500
2024-01-01 09:30:00+05:30,127.16,127.16,125.68,126.03,352080
2024-01-01 09:45:00+05:30,126.03,127.65,125.98,126.96,383290
2024-01-01 10:00:00+05:30,127.16,127.65,126.86,127.41,252171
2024-01-01 10:15:00+05:30,127.41,127.7,126.96,127.16,238211
2024-01-01 10:30:00+05:30,126.91,127.55,125.88,126.76,361442
2024-01-01 10:45:00+05:30,126.76,127.65,126.57,127.65,256204
2024-01-01 11:00:00+05:30,127.65,128.39,127.16,127.36,382884
2024-01-01 11:15:00+05:30,127.36,127.9,127.16,127.75,86458
2024-01-01 11:30:00+05:30,127.75,128.83,127.41,128.74,427367
2024-01-01 11:45:00+05:30,128.74,129.33,128.54,128.88,321670
2024-01-01 12:00:00+05:30,128.88,128.88,127.45,127.8,244461
2024-01-01 12:15:00+05:30,127.75,128.05,126.57,127.06,470312
2024-01-01 12:30:00+05:30,127.06,127.85,126.96,127.5,169194
2024-01-01 12:45:00+05:30,127.5,127.6,126.76,127.26,213454
2024-01-01 13:00:00+05:30,127.26,127.75,127.16,127.5,189241
2024-01-01 13:15:00+05:30,127.5,128.74,127.41,128.54,126952
2024-01-01 13:30:00+05:30,128.54,128.83,127.65,128.64,285827
2024-01-01 13:45:00+05:30,128.59,128.74,127.45,127.95,274737
2024-01-01 14:00:00+05:30,127.95,128.14,127.55,127.9,110335
2024-01-01 14:15:00+05:30,127.8,130.86,127.75,129.92,1031894
2024-01-01 14:30:00+05:30,129.92,132.09,128.93,130.66,1016003
2024-01-01 14:45:00+05:30,130.71,131.45,129.52,129.87,628046
2024-01-01 15:00:00+05:30,129.87,130.51,128.64,129.13,564410
2024-01-01 15:15:00+05:30,129.23,129.23,128.14,128.29,427371
2024-01-02 09:15:00+05:30,129.13,132.09,128.44,131.69,1032965
2024-01-02 09:30:00+05:30,131.69,131.84,130.51,130.56,345259
2024-01-02 09:45:00+05:30,130.56,131.0,130.17,130.17,442064
2024-01-02 10:00:00+05:30,130.17,130.21,126.32,126.52,809881
2024-01-02 10:15:00+05:30,126.52,126.86,124.6,124.94,396648
2024-01-02 10:30:00+05:30,124.74,126.76,124.69,126.62,267067
2024-01-02 10:45:00+05:30,126.62,126.86,125.93,126.12,172997
2024-01-02 11:00:00+05:30,126.12,126.91,125.68,126.37,329579
2024-01-02 11:15:00+05:30,126.27,126.91,126.17,126.76,396458
2024-01-02 11:30:00+05:30,126.76,126.91,126.17,126.37,135173
2024-01-02 11:45:00+05:30,126.37,126.91,126.17,126.86,110136
2024-01-02 12:00:00+05:30,126.91,127.45,126.67,127.45,547878
2024-01-02 12:15:00+05:30,127.55,128.1,127.41,127.45,287491
2024-01-02 12:30:00+05:30,127.45,127.65,127.41,127.55,167721
2024-01-02 12:45:00+05:30,127.55,127.8,126.67,126.96,170314
