date,open,high,low,close,volume
2024-01-01 09:15:00+05:30,118.81,119.0,117.67,118.33,2806832
2024-01-01 09:30:00+05:30,118.38,119.09,118.24,118.58,2085006
2024-01-01 09:45:00+05:30,118.58,119.19,118.43,118.91,1767366
2024-01-01 10:00:00+05:30,118.91,118.91,118.33,118.66,889410
2024-01-01 10:15:00+05:30,118.62,118.71,118.33,118.62,509423
2024-01-01 10:30:00+05:30,118.62,118.62,118.15,118.29,557405
2024-01-01 10:45:00+05:30,118.33,118.71,118.24,118.58,624487
2024-01-01 11:00:00+05:30,118.58,118.71,118.43,118.58,387991
2024-01-01 11:15:00+05:30,118.53,118.62,118.38,118.58,340249
2024-01-01 11:30:00+05:30,118.58,118.66,117.96,118.24,774094
2024-01-01 11:45:00+05:30,118.24,118.43,118.15,118.33,456829
2024-01-01 12:00:00+05:30,118.33,118.38,118.05,118.1,276227
2024-01-01 12:15:00+05:30,118.1,118.15,117.72,117.86,823059
2024-01-01 12:30:00+05:30,117.76,118.0,117.72,117.96,253179
2024-01-01 12:45:00+05:30,117.86,117.96,117.48,117.48,489788
2024-01-01 13:00:00+05:30,117.58,117.76,117.48,117.67,324471
2024-01-01 13:15:00+05:30,117.67,117.96,117.53,117.96,361400
2024-01-01 13:30:00+05:30,117.86,118.0,117.67,117.81,277614
2024-01-01 13:45:00+05:30,117.76,117.91,117.67,117.91,237470
2024-01-01 14:00:00+05:30,117.91,117.91,117.67,117.72,298979
2024-01-01 14:15:00+05:30,117.72,117.76,117.48,117.58,408322
2024-01-01 14:30:00+05:30,117.58,117.76,117.48,117.63,446896
2024-01-01 14:45:00+05:30,117.63,117.67,117.43,117.43,433419
2024-01-01 15:00:00+05:30,117.53,117.58,116.82,116.86,1235235
2024-01-01 15:15:00+05:30,116.86,117.29,116.82,117.2,1173662
2024-01-02 09:15:00+05:30,117.76,117.81,116.58,117.43,2062933
2024-01-02 09:30:00+05:30,117.43,118.15,117.2,117.91,1253198
2024-01-02 09:45:00+05:30,117.91,118.15,116.91,116.91,630102
2024-01-02 10:00:00+05:30,116.91,117.67,116.91,117.58,518508
2024-01-02 10:15:00+05:30,117.53,117.58,116.34,116.34,754124
2024-01-02 10:30:00+05:30,116.34,116.82,115.49,116.01,1631472
2024-01-02 10:45:00+05:30,115.96,116.96,115.82,116.82,714324
2024-01-02 11:00:00+05:30,116.82,116.91,116.25,116.34,324728
2024-01-02 11:15:00+05:30,116.34,116.77,116.15,116.63,225044
2024-01-02 11:30:00+05:30,116.58,116.91,116.38,116.72,363379
2024-01-02 11:45:00+05:30,116.72,116.72,116.34,116.58,245304
2024-01-02 12:00:00+05:30,116.63,116.82,116.48,116.63,179655
2024-01-02 12:15:00+05:30,116.63,117.15,116.63,116.96,369861
2024-01-02 12:30:00+05:30,116.96,117.86,116.91,117.43,1024688
2024-01-02 12:45:00+05:30,117.48,117.72,117.05,117.15,395071
