date,open,high,low,close,volume
2024-01-01 09:15:00+05:30,752.0,752.0,745.7,750.2,146626
2024-01-01 09:30:00+05:30,749.6,750.6,748.0,749.0,40259
2024-01-01 09:45:00+05:30,748.7,751.9,748.5,751.7,63873
2024-01-01 10:00:00+05:30,751.7,753.5,748.9,750.3,66369
2024-01-01 10:15:00+05:30,750.0,752.0,749.0,751.95,27535
2024-01-01 10:30:00+05:30,751.95,752.0,750.1,750.5,17484
2024-01-01 10:45:00+05:30,750.5,750.8,748.8,749.5,38577
2024-01-01 11:00:00+05:30,749.5,749.95,747.0,747.5,51024
2024-01-01 11:15:00+05:30,747.2,747.9,746.35,747.0,37024
2024-01-01 11:30:00+05:30,747.0,747.25,745.05,746.0,37988
2024-01-01 11:45:00+05:30,746.0,747.2,746.0,746.6,18962
2024-01-01 12:00:00+05:30,746.6,750.0,745.6,749.75,47328
2024-01-01 12:15:00+05:30,749.75,750.0,747.5,748.45,22014
2024-01-01 12:30:00+05:30,748.45,749.85,747.1,749.75,49136
2024-01-01 12:45:00+05:30,749.75,750.0,748.55,749.95,24102
2024-01-01 13:00:00+05:30,749.5,750.7,749.05,750.15,28830
2024-01-01 13:15:00+05:30,749.7,750.55,749.05,749.95,17437
2024-01-01 13:30:00+05:30,749.95,750.0,747.15,747.95,18471
2024-01-01 13:45:00+05:30,747.95,749.45,747.85,749.35,15121
2024-01-01 14:00:00+05:30,749.35,750.0,748.75,749.4,20575
2024-01-01 14:15:00+05:30,749.4,750.95,749.15,750.95,28666
2024-01-01 14:30:00+05:30,750.6,750.95,749.65,750.7,31108
2024-01-01 14:45:00+05:30,750.7,750.8,748.0,748.45,39788
2024-01-01 15:00:00+05:30,748.3,748.3,742.0,742.85,113854
2024-01-01 15:15:00+05:30,742.7,744.5,741.15,742.8,121099
2024-01-02 09:15:00+05:30,744.0,746.3,740.75,745.5,79962
2024-01-02 09:30:00+05:30,745.5,747.85,743.7,746.3,37182
2024-01-02 09:45:00+05:30,746.3,746.95,739.0,740.5,61674
2024-01-02 10:00:00+05:30,740.3,744.55,739.0,743.1,43312
2024-01-02 10:15:00+05:30,743.1,743.85,736.05,736.2,30865
2024-01-02 10:30:00+05:30,736.1,737.75,730.0,734.2,88312
2024-01-02 10:45:00+05:30,734.2,739.6,733.05,737.8,39501
2024-01-02 11:00:00+05:30,737.8,738.55,735.85,736.85,15572
2024-01-02 11:15:00+05:30,737.2,741.6,736.3,740.1,22509
2024-01-02 11:30:00+05:30,740.4,741.7,738.2,740.45,24160
2024-01-02 11:45:00+05:30,740.45,740.75,739.5,739.55,10226
2024-01-02 12:00:00+05:30,739.65,740.9,738.95,740.5,9024
2024-01-02 12:15:00+05:30,740.5,742.25,740.5,741.0,17070
2024-01-02 12:30:00+05:30,741.0,743.45,740.5,742.0,13506
2024-01-02 12:45:00+05:30,742.0,742.85,740.95,741.45,5700
2024-01-02 13:00:00+05:30,741.45,742.0,739.35,740.8,8339
2024-01-02 13:15:00+05:30,740.8,742.35,740.8,741.75,14385
2024-01-02 13:30:00+05:30,741.75,743.35,741.5,743.25,9712
2024-01-02 13:45:00+05:30,743.25,745.0,742.45,743.3,23947
2024-01-02 14:00:00+05:30,743.3,745.0,743.15,744.25,31093
2024-01-02 14:15:00+05:30,744.25,744.4,741.95,743.0,36584
2024-01-02 14:30:00+05:30,743.0,744.65,742.55,743.1,32945
2024-01-02 14:45:00+05:30,743.1,743.8,742.3,742.9,20196
2024-01-02 15:00:00+05:30,742.45,744.3,741.5,742.5,63804
2024-01-02 15:15:00+05:30,742.7,744.3,741.4,741.4,90155
2024-01-03 09:15:00+05:30,741.0,741.0,725.0,730.3,231095
2024-01-03 09:30:00+05:30,730.35,730.75,723.45,725.15,113438
2024-01-03 09:45:00+05:30,725.0,729.2,724.9,728.4,90639
2024-01-03 10:00:00+05:30,728.4,728.4,726.5,727.7,36974
2024-01-03 10:15:00+05:30,727.7,727.75,725.3,726.15,60516
2024-01-03 10:30:00+05:30,726.15,727.7,725.2,725.75,27229
2024-01-03 10:45:00+05:30,725.75,727.85,725.0,727.0,35766
2024-01-03 11:00:00+05:30,727.0,729.75,726.55,729.4,57004
2024-01-03 11:15:00+05:30,729.6,734.3,729.35,732.4,131494
2024-01-03 11:30:00+05:30,732.5,733.0,730.7,732.5,37348
2024-01-03 11:45:00+05:30,732.5,733.75,731.45,732.0,37117
2024-01-03 12:00:00+05:30,732.0,732.65,730.8,731.6,38133
