date,open,high,low,close,volume
2024-01-01 09:15:00+05:30,54.63,55.1,54.53,54.93,2608888
2024-01-01 09:30:00+05:30,54.93,55.17,54.83,54.97,1156498
2024-01-01 09:45:00+05:30,54.97,55.2,54.93,55.2,711572
2024-01-01 10:00:00+05:30,55.2,55.4,55.03,55.17,1256868
2024-01-01 10:15:00+05:30,55.17,55.2,54.9,55.03,672588
2024-01-01 10:30:00+05:30,55.03,55.07,54.87,55.03,538808
2024-01-01 10:45:00+05:30,55.03,55.07,54.93,55.0,277348
2024-01-01 11:00:00+05:30,54.93,55.0,54.8,54.83,268258
2024-01-01 11:15:00+05:30,54.87,55.17,54.83,55.07,593606
2024-01-01 11:30:00+05:30,55.07,55.13,54.93,55.0,411136
2024-01-01 11:45:00+05:30,55.0,55.0,54.87,54.93,223671
2024-01-01 12:00:00+05:30,54.93,54.97,54.83,54.97,210740
2024-01-01 12:15:00+05:30,54.97,54.97,54.8,54.9,393141
2024-01-01 12:30:00+05:30,54.9,54.97,54.87,54.9,131202
2024-01-01 12:45:00+05:30,54.87,54.93,54.83,54.9,120958
2024-01-01 13:00:00+05:30,54.9,54.93,54.83,54.93,174254
2024-01-01 13:15:00+05:30,54.93,54.93,54.77,54.87,292370
2024-01-01 13:30:00+05:30,54.87,54.93,54.73,54.8,215916
2024-01-01 13:45:00+05:30,54.8,54.93,54.73,54.87,151888
2024-01-01 14:00:00+05:30,54.93,54.93,54.8,54.93,194794
2024-01-01 14:15:00+05:30,54.93,54.97,54.83,54.9,222276
2024-01-01 14:30:00+05:30,54.93,54.97,54.53,54.6,281282
2024-01-01 14:45:00+05:30,54.6,54.67,54.53,54.67,859426
2024-01-01 15:00:00+05:30,54.67,54.73,54.47,54.57,897594
2024-01-01 15:15:00+05:30,54.57,54.67,54.4,54.6,1454112
2024-01-02 09:15:00+05:30,54.77,54.8,54.03,54.33,2125976
2024-01-02 09:30:00+05:30,54.33,54.4,54.2,54.3,607011
2024-01-02 09:45:00+05:30,54.3,54.33,53.63,53.7,1854465
2024-01-02 10:00:00+05:30,53.63,53.97,53.4,53.77,1352403
2024-01-02 10:15:00+05:30,53.8,53.83,53.17,53.2,1729560
2024-01-02 10:30:00+05:30,53.2,53.43,52.67,53.03,2315853
2024-01-02 10:45:00+05:30,53.03,53.43,52.93,53.33,1195160
2024-01-02 11:00:00+05:30,53.37,53.4,53.13,53.17,832366
2024-01-02 11:15:00+05:30,53.13,53.47,53.03,53.43,567267
2024-01-02 11:30:00+05:30,53.43,53.47,53.27,53.4,411492
2024-01-02 11:45:00+05:30,53.43,53.43,53.3,53.4,253832
2024-01-02 12:00:00+05:30,53.4,53.53,53.3,53.4,428289
2024-01-02 12:15:00+05:30,53.47,53.57,53.4,53.57,132874
2024-01-02 12:30:00+05:30,53.57,53.67,53.5,53.6,207712
2024-01-02 12:45:00+05:30,53.63,53.67,53.37,53.53,224799
2024-01-02 13:00:00+05:30,53.57,53.57,53.27,53.5,291567
2024-01-02 13:15:00+05:30,53.47,53.67,53.4,53.53,254547
2024-01-02 13:30:00+05:30,53.53,53.63,53.5,53.63,182550
2024-01-02 13:45:00+05:30,53.63,53.7,53.53,53.57,352731
2024-01-02 14:00:00+05:30,53.53,53.87,53.53,53.77,735802
2024-01-02 14:15:00+05:30,53.77,53.8,53.63,53.7,288108
2024-01-02 14:30:00+05:30,53.73,53.97,53.67,53.93,658287
2024-01-02 14:45:00+05:30,53.97,53.97,53.53,53.57,928646
2024-01-02 15:00:00+05:30,53.57,53.83,53.53,53.67,856934
2024-01-02 15:15:00+05:30,53.67,53.9,53.67,53.8,1585161
2024-01-03 09:15:00+05:30,53.73,54.2,53.6,54.1,2109039
2024-01-03 09:30:00+05:30,54.1,54.1,53.17,53.3,1404276
