date,open,high,low,close,volume
2024-01-01 09:15:00+05:30,312.0,313.3,310.0,312.85,546962
2024-01-01 09:30:00+05:30,312.8,312.8,307.85,308.6,653039
2024-01-01 09:45:00+05:30,308.6,310.3,308.15,310.25,491330
2024-01-01 10:00:00+05:30,310.25,310.6,309.5,310.35,508630
2024-01-01 10:15:00+05:30,310.3,310.35,307.8,309.6,415682
2024-01-01 10:30:00+05:30,309.55,311.3,309.5,310.8,368659
2024-01-01 10:45:00+05:30,310.75,311.85,310.6,311.8,222391
2024-01-01 11:00:00+05:30,311.8,312.5,311.65,312.2,464050
2024-01-01 11:15:00+05:30,312.2,312.2,311.7,312.05,290367
2024-01-01 11:30:00+05:30,312.15,312.15,311.1,311.25,359832
2024-01-01 11:45:00+05:30,311.3,311.4,310.3,310.75,232308
2024-01-01 12:00:00+05:30,310.75,310.9,310.3,310.65,205410
2024-01-01 12:15:00+05:30,310.65,310.95,310.2,310.75,180776
2024-01-01 12:30:00+05:30,310.75,310.95,310.2,310.35,139381
2024-01-01 12:45:00+05:30,310.2,310.75,310.15,310.6,80910
2024-01-01 13:00:00+05:30,310.65,310.85,309.85,310.2,163227
2024-01-01 13:15:00+05:30,310.2,310.35,309.6,310.1,154878
2024-01-01 13:30:00+05:30,310.05,310.3,309.9,310.15,89836
2024-01-01 13:45:00+05:30,310.15,310.5,309.65,310.0,258025
2024-01-01 14:00:00+05:30,309.95,310.9,309.7,310.8,309183
2024-01-01 14:15:00+05:30,310.8,310.95,310.3,310.85,167440
2024-01-01 14:30:00+05:30,310.85,310.85,310.0,310.3,226207
2024-01-01 14:45:00+05:30,310.3,310.6,310.05,310.4,247225
2024-01-01 15:00:00+05:30,310.5,311.0,309.0,309.2,593495
2024-01-01 15:15:00+05:30,309.2,309.75,308.55,309.45,543899
2024-01-02 09:15:00+05:30,310.8,310.8,306.8,308.65,930621
2024-01-02 09:30:00+05:30,308.65,309.3,307.65,308.6,409167
2024-01-02 09:45:00+05:30,308.7,309.25,307.0,307.3,930858
2024-01-02 10:00:00+05:30,307.25,308.55,306.65,307.9,1044930
2024-01-02 10:15:00+05:30,307.95,308.25,303.75,303.9,1396116
2024-01-02 10:30:00+05:30,304.2,305.4,302.05,304.55,887507
