date,open,high,low,close,volume
2024-01-01 09:15:00+05:30,249.0,250.95,248.1,249.85,325208
2024-01-01 09:30:00+05:30,249.95,249.95,248.85,249.75,142245
2024-01-01 09:45:00+05:30,249.8,251.0,249.1,250.15,174069
2024-01-01 10:00:00+05:30,250.05,250.3,249.65,249.7,80906
2024-01-01 10:15:00+05:30,249.9,250.05,249.1,249.45,85041
2024-01-01 10:30:00+05:30,249.35,249.45,248.7,249.2,73968
2024-01-01 10:45:00+05:30,249.2,249.35,248.45,249.0,81076
2024-01-01 11:00:00+05:30,249.2,249.35,248.75,249.1,39468
2024-01-01 11:15:00+05:30,249.1,249.35,248.8,249.25,32750
2024-01-01 11:30:00+05:30,249.25,249.25,248.95,249.25,22260
2024-01-01 11:45:00+05:30,249.25,249.35,248.55,248.65,63573
2024-01-01 12:00:00+05:30,248.65,248.65,247.55,248.25,108690
2024-01-01 12:15:00+05:30,248.35,248.5,247.8,247.95,58612
2024-01-01 12:30:00+05:30,247.95,250.4,247.8,249.8,143404
2024-01-01 12:45:00+05:30,249.8,250.5,249.45,249.75,93891
2024-01-01 13:00:00+05:30,249.75,250.35,249.55,249.95,78708
2024-01-01 13:15:00+05:30,249.95,250.35,249.85,250.2,47802
2024-01-01 13:30:00+05:30,250.2,251.65,250.15,251.05,196452
2024-01-01 13:45:00+05:30,251.0,251.65,250.9,251.4,150774
2024-01-01 14:00:00+05:30,251.35,251.75,251.05,251.3,86036
2024-01-01 14:15:00+05:30,251.3,251.55,251.15,251.4,62114
2024-01-01 14:30:00+05:30,251.4,253.8,251.15,253.65,391173
2024-01-01 14:45:00+05:30,253.65,255.05,252.35,253.9,480840
2024-01-01 15:00:00+05:30,253.85,254.45,251.35,251.85,333747
2024-01-01 15:15:00+05:30,251.9,252.45,251.05,252.0,201012
2024-01-02 09:15:00+05:30,250.65,254.45,249.5,254.25,512870
2024-01-02 09:30:00+05:30,254.15,254.65,252.45,253.0,183567
2024-01-02 09:45:00+05:30,252.85,255.0,252.75,253.1,238934
2024-01-02 10:00:00+05:30,252.9,256.15,252.7,255.9,574708
2024-01-02 10:15:00+05:30,255.95,255.95,253.5,253.7,324519
2024-01-02 10:30:00+05:30,253.7,257.0,253.35,254.25,567765
2024-01-02 10:45:00+05:30,254.25,256.25,254.0,256.05,233780
2024-01-02 11:00:00+05:30,256.15,256.15,255.1,255.95,145197
2024-01-02 11:15:00+05:30,255.7,258.0,255.5,258.0,442718
2024-01-02 11:30:00+05:30,258.0,259.35,257.0,258.25,723663
2024-01-02 11:45:00+05:30,258.0,258.35,257.55,258.3,189584
2024-01-02 12:00:00+05:30,258.3,258.95,257.65,258.0,216564
2024-01-02 12:15:00+05:30,258.0,258.2,256.85,257.65,208448
2024-01-02 12:30:00+05:30,257.65,258.25,256.75,257.8,157881
2024-01-02 12:45:00+05:30,257.8,257.95,256.55,257.05,238256
2024-01-02 13:00:00+05:30,257.05,257.3,256.3,256.5,128242
2024-01-02 13:15:00+05:30,256.5,258.0,256.5,257.75,233590
2024-01-02 13:30:00+05:30,257.75,257.85,256.75,257.15,171945
2024-01-02 13:45:00+05:30,257.15,257.8,257.15,257.7,110878
2024-01-02 14:00:00+05:30,257.7,257.8,256.45,256.6,76866
2024-01-02 14:15:00+05:30,256.6,256.65,255.0,255.45,137856
2024-01-02 14:30:00+05:30,255.6,255.85,255.05,255.35,73323
2024-01-02 14:45:00+05:30,255.45,255.65,254.05,254.55,135435
2024-01-02 15:00:00+05:30,254.65,256.35,254.5,255.95,272830
2024-01-02 15:15:00+05:30,256.15,256.15,254.75,255.35,302582
2024-01-03 09:15:00+05:30,255.75,256.4,252.5,253.45,362920
2024-01-03 09:30:00+05:30,253.55,253.55,251.55,251.85,226992
2024-01-03 09:45:00+05:30,251.7,253.25,251.6,252.7,99840
2024-01-03 10:00:00+05:30,252.75,253.2,252.3,252.8,58328
2024-01-03 10:15:00+05:30,252.8,252.85,252.05,252.55,53024
2024-01-03 10:30:00+05:30,252.5,252.95,252.25,252.85,47686
2024-01-03 10:45:00+05:30,252.85,253.65,252.5,253.5,86440
2024-01-03 11:00:00+05:30,253.55,253.65,253.05,253.45,40966
2024-01-03 11:15:00+05:30,253.5,254.0,253.15,253.75,84870
2024-01-03 11:30:00+05:30,253.95,254.85,253.75,254.8,102574
2024-01-03 11:45:00+05:30,254.8,256.3,254.25,255.35,212810
2024-01-03 12:00:00+05:30,255.35,255.35,254.55,255.05,73989
2024-01-03 12:15:00+05:30,255.1,255.35,254.25,254.7,72512
2024-01-03 12:30:00+05:30,254.95,261.25,254.65,260.35,1129779
2024-01-03 12:45:00+05:30,260.35,260.5,257.65,258.65,357482
2024-01-03 13:00:00+05:30,258.65,258.7,257.65,258.7,123292
2024-01-03 13:15:00+05:30,258.55,259.95,257.8,259.35,232220
2024-01-03 13:30:00+05:30,259.35,259.45,258.05,258.4,99714
2024-01-03 13:45:00+05:30,258.55,258.75,258.0,258.1,88626
2024-01-03 14:00:00+05:30,258.05,258.3,257.65,257.95,86806
