date,open,high,low,close,volume
2024-01-01 09:15:00+05:30,637.0,648.25,636.65,645.5,544414
2024-01-01 09:30:00+05:30,645.45,648.85,644.6,645.85,394921
2024-01-01 09:45:00+05:30,645.6,648.4,644.45,645.15,215389
2024-01-01 10:00:00+05:30,645.15,648.5,644.45,645.3,305482
2024-01-01 10:15:00+05:30,645.05,646.25,644.5,645.2,95750
2024-01-01 10:30:00+05:30,645.3,645.4,644.15,644.5,55100
2024-01-01 10:45:00+05:30,644.5,645.3,644.2,645.0,36251
2024-01-01 11:00:00+05:30,645.0,645.25,644.4,644.45,48973
2024-01-01 11:15:00+05:30,644.4,645.05,643.25,645.0,87278
2024-01-01 11:30:00+05:30,644.8,645.1,643.75,644.55,39859
2024-01-01 11:45:00+05:30,644.6,646.0,644.25,644.95,46890
2024-01-01 12:00:00+05:30,644.95,645.35,644.8,645.0,33978
2024-01-01 12:15:00+05:30,645.0,646.25,645.0,645.45,53893
2024-01-01 12:30:00+05:30,645.45,646.0,645.0,645.3,54477
2024-01-01 12:45:00+05:30,645.3,645.3,645.0,645.25,34878
2024-01-01 13:00:00+05:30,645.1,646.1,645.0,646.0,53809
2024-01-01 13:15:00+05:30,646.0,648.0,645.0,645.85,155477
2024-01-01 13:30:00+05:30,645.7,645.9,645.0,645.4,21975
2024-01-01 13:45:00+05:30,645.4,646.65,645.4,646.05,38078
2024-01-01 14:00:00+05:30,646.0,646.45,646.0,646.0,33765
2024-01-01 14:15:00+05:30,646.05,646.5,645.8,646.1,77931
2024-01-01 14:30:00+05:30,646.0,646.5,646.0,646.15,28284
2024-01-01 14:45:00+05:30,646.15,646.85,645.85,646.05,73592
2024-01-01 15:00:00+05:30,646.15,646.5,645.5,646.25,214885
2024-01-01 15:15:00+05:30,646.05,647.0,645.25,646.05,259231
2024-01-02 09:15:00+05:30,648.0,652.0,644.5,650.6,384554
2024-01-02 09:30:00+05:30,651.0,653.35,649.25,652.95,368022
2024-01-02 09:45:00+05:30,653.0,653.0,645.95,646.85,257871
2024-01-02 10:00:00+05:30,646.65,648.5,642.8,647.9,191102
2024-01-02 10:15:00+05:30,647.9,648.75,644.4,644.55,123839
2024-01-02 10:30:00+05:30,644.55,647.0,641.1,643.45,187711
2024-01-02 10:45:00+05:30,643.55,647.0,643.2,644.85,109649
2024-01-02 11:00:00+05:30,645.0,645.9,643.75,644.0,81617
2024-01-02 11:15:00+05:30,644.0,645.45,642.8,644.9,66896
2024-01-02 11:30:00+05:30,645.25,645.55,643.65,645.3,19195
2024-01-02 11:45:00+05:30,645.3,645.5,644.0,645.3,17231
2024-01-02 12:00:00+05:30,645.45,648.35,645.05,648.35,47138
2024-01-02 12:15:00+05:30,648.0,649.25,647.05,647.8,128309
2024-01-02 12:30:00+05:30,647.45,649.0,647.05,648.2,64773
2024-01-02 12:45:00+05:30,648.2,648.8,647.5,647.85,38017
2024-01-02 13:00:00+05:30,647.85,648.2,647.0,647.7,27847
2024-01-02 13:15:00+05:30,647.7,648.0,647.0,647.75,26280
2024-01-02 13:30:00+05:30,647.6,648.45,647.6,648.35,16014
2024-01-02 13:45:00+05:30,648.2,648.5,646.8,646.95,31554
2024-01-02 14:00:00+05:30,646.95,647.4,646.0,646.95,31765
2024-01-02 14:15:00+05:30,646.65,648.8,646.4,648.1,46947
2024-01-02 14:30:00+05:30,648.15,648.45,648.0,648.0,25798
2024-01-02 14:45:00+05:30,648.0,648.85,647.9,648.45,60350
2024-01-02 15:00:00+05:30,648.5,651.85,648.45,651.85,352896
2024-01-02 15:15:00+05:30,651.7,654.0,651.0,653.2,366665
2024-01-03 09:15:00+05:30,654.0,659.9,648.35,657.5,600185
2024-01-03 09:30:00+05:30,657.5,663.0,657.5,662.55,523289
2024-01-03 09:45:00+05:30,662.5,663.8,659.0,659.5,541997
2024-01-03 10:00:00+05:30,659.85,664.9,658.75,664.7,300119
2024-01-03 10:15:00+05:30,664.5,666.6,662.35,664.9,409421
2024-01-03 10:30:00+05:30,664.85,665.3,663.2,663.9,122820
2024-01-03 10:45:00+05:30,664.0,666.9,663.9,665.35,239564
2024-01-03 11:00:00+05:30,665.3,665.55,664.0,664.15,131089
2024-01-03 11:15:00+05:30,664.15,670.0,664.0,667.4,468536
2024-01-03 11:30:00+05:30,667.4,668.4,665.3,666.2,265914
2024-01-03 11:45:00+05:30,666.2,669.7,666.05,669.45,151633
2024-01-03 12:00:00+05:30,669.25,673.25,669.1,670.35,485961
2024-01-03 12:15:00+05:30,670.35,670.9,667.2,668.15,235856
2024-01-03 12:30:00+05:30,668.0,671.0,667.7,669.15,106398
2024-01-03 12:45:00+05:30,669.3,670.9,669.0,669.95,89909
2024-01-03 13:00:00+05:30,669.8,672.95,669.8,672.65,198438
2024-01-03 13:15:00+05:30,672.65,674.0,669.6,669.95,256684
2024-01-03 13:30:00+05:30,669.95,672.7,669.95,672.25,132294
2024-01-03 13:45:00+05:30,672.25,675.0,671.95,674.8,363910
2024-01-03 14:00:00+05:30,674.8,677.45,674.65,676.9,433642
2024-01-03 14:15:00+05:30,676.95,678.75,675.5,677.8,315245
2024-01-03 14:30:00+05:30,677.8,678.0,673.6,676.0,556691
2024-01-03 14:45:00+05:30,676.0,676.5,675.0,675.9,220392
2024-01-03 15:00:00+05:30,675.95,676.3,674.0,675.0,481668
2024-01-03 15:15:00+05:30,675.1,675.3,667.0,670.8,519326
2024-01-04 09:15:00+05:30,675.5,677.0,667.8,668.55,537209
2024-01-04 09:30:00+05:30,668.55,673.9,668.15,672.55,264939
2024-01-04 09:45:00+05:30,672.5,673.0,665.9,665.9,204189
2024-01-04 10:00:00+05:30,666.15,668.5,665.95,668.2,96282
2024-01-04 10:15:00+05:30,668.2,668.5,667.6,668.05,51201
2024-01-04 10:30:00+05:30,667.9,668.85,667.55,667.7,41626
2024-01-04 10:45:00+05:30,667.7,668.75,665.0,665.9,120574
2024-01-04 11:00:00+05:30,665.8,667.45,665.0,667.1,79606
2024-01-04 11:15:00+05:30,666.9,667.7,665.7,665.85,56074
2024-01-04 11:30:00+05:30,665.85,667.8,665.55,667.55,38056
2024-01-04 11:45:00+05:30,667.75,668.5,666.55,667.5,98219
2024-01-04 12:00:00+05:30,667.5,668.5,666.95,667.45,49147
2024-01-04 12:15:00+05:30,667.45,668.0,666.75,667.85,23867
2024-01-04 12:30:00+05:30,667.85,668.2,664.25,667.0,170475
2024-01-04 12:45:00+05:30,667.05,667.3,666.25,667.1,144327
2024-01-04 13:00:00+05:30,667.1,668.25,666.0,667.55,33378
2024-01-04 13:15:00+05:30,667.5,667.8,665.65,667.4,67641
2024-01-04 13:30:00+05:30,667.4,667.5,665.8,666.85,77834
2024-01-04 13:45:00+05:30,666.85,667.1,666.2,666.95,54112
2024-01-04 14:00:00+05:30,666.9,667.45,665.95,667.1,41469
2024-01-04 14:15:00+05:30,667.1,667.1,665.5,665.55,74720
2024-01-04 14:30:00+05:30,665.65,667.0,665.55,666.9,61261
2024-01-04 14:45:00+05:30,666.8,666.95,665.4,666.35,66325
2024-01-04 15:00:00+05:30,666.35,668.2,665.1,668.1,162568
2024-01-04 15:15:00+05:30,668.1,673.6,667.0,671.15,431159
2024-01-05 09:15:00+05:30,674.7,679.85,672.0,679.8,500337
2024-01-05 09:30:00+05:30,679.6,680.45,676.35,679.25,339188
2024-01-05 09:45:00+05:30,679.25,681.95,678.15,680.9,324197
2024-01-05 10:00:00+05:30,680.65,681.1,679.2,680.65,223419
2024-01-05 10:15:00+05:30,680.55,681.8,680.1,681.4,128794
2024-01-05 10:30:00+05:30,681.4,682.85,680.0,680.9,324630
2024-01-05 10:45:00+05:30,680.9,680.9,678.0,680.1,266720
2024-01-05 11:00:00+05:30,680.1,684.35,680.1,683.3,308918
2024-01-05 11:15:00+05:30,683.25,683.6,681.7,682.5,239135
2024-01-05 11:30:00+05:30,682.5,684.5,682.3,683.3,131658
2024-01-05 11:45:00+05:30,683.35,684.0,682.0,683.45,132713
2024-01-05 12:00:00+05:30,683.6,686.25,683.15,683.6,343959
2024-01-05 12:15:00+05:30,683.6,688.0,683.6,687.8,179578
2024-01-05 12:30:00+05:30,687.75,687.8,685.05,686.2,134475
2024-01-05 12:45:00+05:30,686.2,687.0,685.5,686.35,109418
2024-01-05 13:00:00+05:30,686.35,686.7,685.5,685.75,68502
2024-01-05 13:15:00+05:30,685.75,685.85,684.35,684.75,121977
2024-01-05 13:30:00+05:30,684.7,685.0,683.35,684.35,98237
2024-01-05 13:45:00+05:30,684.35,684.8,681.15,682.3,175715
2024-01-05 14:00:00+05:30,682.4,682.6,680.1,680.5,168369
2024-01-05 14:15:00+05:30,680.5,684.0,679.65,681.3,356127
2024-01-05 14:30:00+05:30,681.3,684.0,680.75,683.4,192647
2024-01-05 14:45:00+05:30,683.4,685.0,683.0,683.95,153786
2024-01-05 15:00:00+05:30,683.6,685.5,683.0,685.5,265681
2024-01-05 15:15:00+05:30,685.65,687.75,683.0,684.75,482284
2024-01-08 09:15:00+05:30,687.0,702.95,684.2,692.35,1194010
2024-01-08 09:30:00+05:30,692.75,695.15,688.8,695.0,458339
2024-01-08 09:45:00+05:30,695.0,695.0,690.0,693.7,250899
2024-01-08 10:00:00+05:30,693.95,694.75,692.2,692.6,144163
2024-01-08 10:15:00+05:30,692.5,693.95,690.5,691.75,102899
2024-01-08 10:30:00+05:30,691.75,692.0,690.9,691.6,64293
2024-01-08 10:45:00+05:30,691.6,693.5,691.3,692.9,128135
2024-01-08 11:00:00+05:30,692.9,694.0,692.0,693.0,136542
2024-01-08 11:15:00+05:30,692.8,695.0,692.1,694.1,224800
