date,open,high,low,close,volume
2024-01-01 09:15:00+05:30,413.7,415.6,410.7,413.95,543724
2024-01-01 09:30:00+05:30,413.85,416.4,413.0,413.7,428452
2024-01-01 09:45:00+05:30,413.65,417.8,413.3,417.65,317673
2024-01-01 10:00:00+05:30,417.5,417.9,415.5,417.3,276931
2024-01-01 10:15:00+05:30,417.35,426.35,416.05,426.1,1636236
2024-01-01 10:30:00+05:30,426.1,429.9,424.75,426.6,2093145
2024-01-01 10:45:00+05:30,426.85,432.65,425.35,430.65,1455129
2024-01-01 11:00:00+05:30,430.45,432.5,428.4,429.85,809062
2024-01-01 11:15:00+05:30,429.9,430.85,429.2,430.35,444721
2024-01-01 11:30:00+05:30,430.2,431.2,427.05,427.15,570201
2024-01-01 11:45:00+05:30,427.5,429.75,427.25,427.7,346112
2024-01-01 12:00:00+05:30,427.7,428.0,426.3,427.35,275592
2024-01-01 12:15:00+05:30,427.35,427.45,425.4,425.5,296989
2024-01-01 12:30:00+05:30,425.5,426.7,425.3,426.0,163699
2024-01-01 12:45:00+05:30,425.8,426.3,425.15,425.75,138734
2024-01-01 13:00:00+05:30,425.75,427.35,425.6,426.15,205640
2024-01-01 13:15:00+05:30,426.15,426.4,425.3,425.8,144287
2024-01-01 13:30:00+05:30,425.8,428.15,425.45,427.95,255170
2024-01-01 13:45:00+05:30,427.95,427.95,426.5,427.45,141315
2024-01-01 14:00:00+05:30,427.5,429.3,427.0,428.45,269805
2024-01-01 14:15:00+05:30,428.25,428.7,427.15,428.0,191519
2024-01-01 14:30:00+05:30,428.0,428.0,426.5,427.15,167197
2024-01-01 14:45:00+05:30,426.95,427.95,426.95,427.7,218706
2024-01-01 15:00:00+05:30,427.65,427.9,423.75,423.8,575159
2024-01-01 15:15:00+05:30,423.9,425.4,423.0,424.0,599791
2024-01-02 09:15:00+05:30,426.0,426.65,418.0,419.75,1064705
2024-01-02 09:30:00+05:30,419.6,422.7,418.25,420.85,672578
2024-01-02 09:45:00+05:30,421.1,423.25,416.6,416.85,1145486
2024-01-02 10:00:00+05:30,416.85,419.3,416.75,418.7,507677
2024-01-02 10:15:00+05:30,418.7,419.0,414.05,414.05,814296
2024-01-02 10:30:00+05:30,414.1,416.5,412.0,414.3,1092538
2024-01-02 10:45:00+05:30,414.05,415.65,413.55,415.1,356132
2024-01-02 11:00:00+05:30,415.1,415.2,412.7,413.1,373762
2024-01-02 11:15:00+05:30,412.85,414.85,412.7,413.85,217037
2024-01-02 11:30:00+05:30,413.85,414.65,412.9,414.25,240538
2024-01-02 11:45:00+05:30,414.25,414.85,413.05,414.85,192949
2024-01-02 12:00:00+05:30,414.75,415.05,414.0,414.35,210852
2024-01-02 12:15:00+05:30,414.35,415.45,414.35,415.0,169082
2024-01-02 12:30:00+05:30,415.0,416.35,415.0,416.0,185957
2024-01-02 12:45:00+05:30,416.0,416.45,415.4,415.65,123940
2024-01-02 13:00:00+05:30,415.65,416.1,414.6,415.5,165235
2024-01-02 13:15:00+05:30,415.5,416.2,415.1,415.9,153047
2024-01-02 13:30:00+05:30,415.9,417.6,415.85,417.4,288836
2024-01-02 13:45:00+05:30,417.15,417.9,417.05,417.5,191497
2024-01-02 14:00:00+05:30,417.45,419.4,417.1,418.7,254424
2024-01-02 14:15:00+05:30,418.75,419.75,418.25,418.65,262981
2024-01-02 14:30:00+05:30,418.7,418.9,418.05,418.4,247102
2024-01-02 14:45:00+05:30,418.4,419.45,416.75,417.65,466012
2024-01-02 15:00:00+05:30,417.55,419.15,417.3,418.85,720188
2024-01-02 15:15:00+05:30,418.95,423.15,418.85,421.0,1177813
2024-01-03 09:15:00+05:30,421.0,425.4,417.0,423.75,1021583
2024-01-03 09:30:00+05:30,423.95,424.75,415.8,416.25,844506
2024-01-03 09:45:00+05:30,416.45,417.85,415.35,416.75,560525
2024-01-03 10:00:00+05:30,416.75,418.45,415.7,418.0,267180
2024-01-03 10:15:00+05:30,417.95,419.5,416.35,419.15,397477
2024-01-03 10:30:00+05:30,419.15,423.75,419.1,422.5,618615
2024-01-03 10:45:00+05:30,422.45,423.4,422.0,422.25,290845
2024-01-03 11:00:00+05:30,422.25,423.2,421.15,422.7,180897
2024-01-03 11:15:00+05:30,422.7,426.15,422.45,426.0,450494
2024-01-03 11:30:00+05:30,426.0,428.6,424.0,427.55,899463
2024-01-03 11:45:00+05:30,427.45,431.85,427.45,427.7,1105289
2024-01-03 12:00:00+05:30,427.7,428.05,424.1,425.25,494898
2024-01-03 12:15:00+05:30,425.25,425.5,422.15,423.95,469047
2024-01-03 12:30:00+05:30,423.95,423.95,421.85,423.25,291564
2024-01-03 12:45:00+05:30,423.25,426.35,422.8,425.4,411125
2024-01-03 13:00:00+05:30,425.4,426.45,425.25,425.8,177950
2024-01-03 13:15:00+05:30,425.8,426.05,424.9,425.4,119473
2024-01-03 13:30:00+05:30,425.4,427.0,424.1,425.85,310508
2024-01-03 13:45:00+05:30,425.85,425.85,424.25,424.65,153224
2024-01-03 14:00:00+05:30,424.75,426.55,424.7,425.75,164867
2024-01-03 14:15:00+05:30,425.7,426.2,425.05,426.15,147517
2024-01-03 14:30:00+05:30,426.2,426.75,424.85,425.5,229913
2024-01-03 14:45:00+05:30,425.5,426.3,425.15,425.25,185093
2024-01-03 15:00:00+05:30,424.9,425.0,422.9,423.15,392230
2024-01-03 15:15:00+05:30,423.15,424.9,422.25,424.1,443960
2024-01-04 09:15:00+05:30,426.0,433.9,425.25,432.7,1462034
2024-01-04 09:30:00+05:30,432.8,436.2,430.7,435.95,1520094
2024-01-04 09:45:00+05:30,435.9,436.4,431.7,434.55,1089542
2024-01-04 10:00:00+05:30,434.55,436.75,433.7,433.95,755035
2024-01-04 10:15:00+05:30,433.95,437.25,433.7,436.95,817935
2024-01-04 10:30:00+05:30,436.9,436.95,432.7,433.1,518973
2024-01-04 10:45:00+05:30,433.1,435.7,432.85,433.5,323735
2024-01-04 11:00:00+05:30,433.4,434.85,433.3,434.35,197538
2024-01-04 11:15:00+05:30,434.3,436.45,434.0,435.75,301956
2024-01-04 11:30:00+05:30,435.75,436.25,434.25,434.5,258595
2024-01-04 11:45:00+05:30,434.5,436.65,434.5,436.5,230250
2024-01-04 12:00:00+05:30,436.4,437.7,435.4,436.0,370403
2024-01-04 12:15:00+05:30,436.0,436.8,434.85,435.3,195906
2024-01-04 12:30:00+05:30,435.45,436.0,433.65,434.75,232247
2024-01-04 12:45:00+05:30,434.55,435.9,434.4,435.15,124104
2024-01-04 13:00:00+05:30,435.15,436.3,434.65,436.05,193385
2024-01-04 13:15:00+05:30,436.1,436.2,434.65,434.65,96441
2024-01-04 13:30:00+05:30,434.6,434.9,434.15,434.6,170265
2024-01-04 13:45:00+05:30,434.6,435.3,434.5,435.05,118503
2024-01-04 14:00:00+05:30,435.1,435.6,433.9,434.05,242317
2024-01-04 14:15:00+05:30,434.0,435.55,434.0,434.65,194835
2024-01-04 14:30:00+05:30,434.65,435.5,434.45,434.6,169593
2024-01-04 14:45:00+05:30,434.65,436.0,434.5,435.85,326246
2024-01-04 15:00:00+05:30,435.85,436.2,435.3,435.95,660549
2024-01-04 15:15:00+05:30,435.95,436.2,435.25,436.0,870652
2024-01-05 09:15:00+05:30,440.0,440.15,436.6,437.35,1344072
2024-01-05 09:30:00+05:30,437.35,437.95,434.15,434.3,609938
2024-01-05 09:45:00+05:30,434.3,437.3,433.35,435.3,447317
2024-01-05 10:00:00+05:30,435.35,435.95,435.0,435.8,152611
2024-01-05 10:15:00+05:30,435.8,437.85,435.65,437.15,250407
2024-01-05 10:30:00+05:30,436.8,437.1,433.55,434.0,289242
2024-01-05 10:45:00+05:30,434.05,434.45,431.3,434.3,466855
2024-01-05 11:00:00+05:30,434.3,434.85,433.75,434.2,127248
2024-01-05 11:15:00+05:30,434.2,434.35,432.6,433.95,180271
2024-01-05 11:30:00+05:30,433.75,434.4,433.15,433.55,87532
2024-01-05 11:45:00+05:30,433.55,435.0,432.7,435.0,152751
2024-01-05 12:00:00+05:30,435.0,436.2,434.6,435.95,131667
2024-01-05 12:15:00+05:30,436.2,437.0,435.8,436.2,155478
2024-01-05 12:30:00+05:30,436.15,436.6,435.5,436.5,143064
2024-01-05 12:45:00+05:30,436.45,437.4,436.1,436.2,201096
2024-01-05 13:00:00+05:30,436.25,436.75,435.75,435.85,122117
2024-01-05 13:15:00+05:30,435.85,436.7,435.55,435.8,90688
2024-01-05 13:30:00+05:30,435.85,435.95,433.85,434.65,185270
2024-01-05 13:45:00+05:30,434.75,435.0,434.3,434.7,116823
2024-01-05 14:00:00+05:30,434.7,434.95,430.65,430.8,387399
2024-01-05 14:15:00+05:30,430.8,432.15,428.65,430.75,529735
2024-01-05 14:30:00+05:30,430.75,433.5,430.5,433.3,209915
2024-01-05 14:45:00+05:30,433.4,434.6,432.65,433.8,205245
2024-01-05 15:00:00+05:30,433.55,435.0,433.5,434.65,352188
2024-01-05 15:15:00+05:30,434.4,434.7,433.55,434.6,360866
2024-01-08 09:15:00+05:30,435.5,438.75,432.6,435.0,749268
2024-01-08 09:30:00+05:30,435.15,435.7,432.45,433.95,489196
2024-01-08 09:45:00+05:30,433.95,437.65,432.85,436.8,456521
2024-01-08 10:00:00+05:30,436.8,444.8,436.5,440.55,1935500
2024-01-08 10:15:00+05:30,440.95,441.55,437.8,438.15,566490
2024-01-08 10:30:00+05:30,438.15,439.35,436.65,437.75,338312
2024-01-08 10:45:00+05:30,437.75,438.35,436.1,437.25,242513
2024-01-08 11:00:00+05:30,437.4,439.45,437.0,438.45,258835
2024-01-08 11:15:00+05:30,438.35,438.5,437.35,438.5,120026
2024-01-08 11:30:00+05:30,438.45,438.5,436.7,437.55,120349
2024-01-08 11:45:00+05:30,437.55,437.55,434.4,435.0,296462
2024-01-08 12:00:00+05:30,435.05,435.4,434.5,434.75,316923
2024-01-08 12:15:00+05:30,434.75,437.65,434.05,436.5,225419
2024-01-08 12:30:00+05:30,436.5,437.4,436.4,436.75,104828
2024-01-08 12:45:00+05:30,436.75,437.7,436.15,437.0,103819
2024-01-08 13:00:00+05:30,437.0,438.75,436.8,438.4,262864
2024-01-08 13:15:00+05:30,438.35,441.25,438.3,439.3,546085
2024-01-08 13:30:00+05:30,439.4,440.0,438.4,438.5,168657
2024-01-08 13:45:00+05:30,438.65,439.85,437.7,439.55,210394
2024-01-08 14:00:00+05:30,439.55,440.0,438.45,438.8,300452
2024-01-08 14:15:00+05:30,438.8,439.3,436.55,437.15,266276
2024-01-08 14:30:00+05:30,437.15,437.35,435.1,435.85,296116
2024-01-08 14:45:00+05:30,435.95,437.15,435.7,436.25,158237
2024-01-08 15:00:00+05:30,436.25,436.9,434.35,434.75,404401
2024-01-08 15:15:00+05:30,434.6,435.95,433.65,434.5,461907
2024-01-09 09:15:00+05:30,437.5,443.05,437.05,439.8,553763
2024-01-09 09:30:00+05:30,439.8,439.95,433.0,433.7,734342
2024-01-09 09:45:00+05:30,433.65,434.4,430.1,430.35,657402
2024-01-09 10:00:00+05:30,430.5,431.75,428.1,431.5,510784
2024-01-09 10:15:00+05:30,431.65,431.65,429.0,429.95,370372
2024-01-09 10:30:00+05:30,429.75,430.55,428.05,429.8,326652
2024-01-09 10:45:00+05:30,429.8,429.9,425.5,426.35,560130
2024-01-09 11:00:00+05:30,426.35,428.55,426.35,428.15,310995
2024-01-09 11:15:00+05:30,428.15,430.8,427.7,430.2,399938
2024-01-09 11:30:00+05:30,430.2,431.5,429.45,430.45,260365
2024-01-09 11:45:00+05:30,430.25,430.75,429.55,430.1,257589
2024-01-09 12:00:00+05:30,430.1,430.6,429.15,430.4,232602
2024-01-09 12:15:00+05:30,430.4,431.0,430.15,431.0,994207
2024-01-09 12:30:00+05:30,431.0,431.5,430.55,430.95,229917
2024-01-09 12:45:00+05:30,430.95,433.3,430.5,433.05,348261
2024-01-09 13:00:00+05:30,433.15,435.3,432.75,434.2,354773
2024-01-09 13:15:00+05:30,434.2,435.4,433.8,435.3,223344
2024-01-09 13:30:00+05:30,435.3,435.6,433.25,433.95,248581
2024-01-09 13:45:00+05:30,433.95,435.0,433.7,434.45,153885
2024-01-09 14:00:00+05:30,434.4,436.15,433.6,433.9,356453
2024-01-09 14:15:00+05:30,433.7,434.3,429.05,430.05,892911
2024-01-09 14:30:00+05:30,429.9,433.0,429.5,430.95,622728
2024-01-09 14:45:00+05:30,430.95,431.4,430.0,430.05,255487
