date,open,high,low,close,volume
2024-01-01 09:15:00+05:30,21.5,22.1,21.4,21.8,61004201
2024-01-01 09:30:00+05:30,21.8,21.85,21.75,21.8,8860245
2024-01-01 09:45:00+05:30,21.8,22.65,21.75,22.55,62792280
2024-01-01 10:00:00+05:30,22.55,23.0,22.55,22.7,68059631
2024-01-01 10:15:00+05:30,22.7,22.95,22.65,22.8,40550122
2024-01-01 10:30:00+05:30,22.8,22.8,22.55,22.65,22513225
2024-01-01 10:45:00+05:30,22.65,22.65,22.45,22.55,15694473
2024-01-01 11:00:00+05:30,22.6,22.65,22.5,22.6,8485472
2024-01-01 11:15:00+05:30,22.6,22.7,22.5,22.6,11025071
2024-01-01 11:30:00+05:30,22.6,22.7,22.55,22.6,14047791
2024-01-01 11:45:00+05:30,22.6,22.6,22.5,22.5,7101894
2024-01-01 12:00:00+05:30,22.5,22.55,22.4,22.5,9738557
2024-01-01 12:15:00+05:30,22.5,22.55,22.35,22.4,10220271
2024-01-01 12:30:00+05:30,22.35,22.5,22.35,22.5,5231094
2024-01-01 12:45:00+05:30,22.45,22.55,22.45,22.5,10290543
2024-01-01 13:00:00+05:30,22.5,22.55,22.45,22.5,4851013
2024-01-01 13:15:00+05:30,22.5,22.5,22.4,22.5,7059182
2024-01-01 13:30:00+05:30,22.5,22.65,22.45,22.6,9838308
2024-01-01 13:45:00+05:30,22.6,22.65,22.55,22.65,6796130
2024-01-01 14:00:00+05:30,22.65,22.85,22.6,22.8,33966115
2024-01-01 14:15:00+05:30,22.8,22.8,22.7,22.7,11138528
2024-01-01 14:30:00+05:30,22.7,22.8,22.65,22.75,19087556
2024-01-01 14:45:00+05:30,22.75,22.85,22.7,22.85,40878789
2024-01-01 15:00:00+05:30,22.85,22.9,22.45,22.5,47447430
2024-01-01 15:15:00+05:30,22.55,22.6,22.45,22.45,34245872
2024-01-02 09:15:00+05:30,22.7,22.7,22.35,22.45,35182192
2024-01-02 09:30:00+05:30,22.45,23.55,22.3,23.5,96394894
2024-01-02 09:45:00+05:30,23.5,23.7,23.15,23.15,100022572
2024-01-02 10:00:00+05:30,23.2,23.55,23.1,23.4,40075899
2024-01-02 10:15:00+05:30,23.35,23.45,23.1,23.15,32429736
2024-01-02 10:30:00+05:30,23.15,23.2,22.8,23.05,50504149
2024-01-02 10:45:00+05:30,23.05,23.2,22.95,23.1,18979682
2024-01-02 11:00:00+05:30,23.1,23.15,22.95,23.05,12189395
2024-01-02 11:15:00+05:30,23.0,23.25,23.0,23.15,13183295
2024-01-02 11:30:00+05:30,23.1,23.2,23.05,23.1,9379715
2024-01-02 11:45:00+05:30,23.1,23.3,23.05,23.3,9111642
2024-01-02 12:00:00+05:30,23.25,23.35,23.15,23.2,15953391
2024-01-02 12:15:00+05:30,23.25,23.35,23.1,23.25,24363704
2024-01-02 12:30:00+05:30,23.25,23.35,23.2,23.3,8755802
2024-01-02 12:45:00+05:30,23.3,23.3,23.2,23.25,4496858
2024-01-02 13:00:00+05:30,23.25,23.25,23.0,23.0,13188811
2024-01-02 13:15:00+05:30,23.05,23.1,22.95,23.05,11720010
2024-01-02 13:30:00+05:30,23.05,23.15,23.0,23.15,4047302
2024-01-02 13:45:00+05:30,23.15,23.15,23.05,23.15,3827756
2024-01-02 14:00:00+05:30,23.15,23.3,23.05,23.25,11491831
2024-01-02 14:15:00+05:30,23.2,23.25,23.1,23.15,13636516
2024-01-02 14:30:00+05:30,23.15,23.15,23.1,23.15,4904068
2024-01-02 14:45:00+05:30,23.1,23.25,23.1,23.2,11484334
2024-01-02 15:00:00+05:30,23.2,23.35,23.1,23.2,32297214
2024-01-02 15:15:00+05:30,23.2,23.25,23.1,23.2,33461045
2024-01-03 09:15:00+05:30,23.25,23.4,23.0,23.1,35705688
2024-01-03 09:30:00+05:30,23.1,23.25,23.05,23.25,23990057
2024-01-03 09:45:00+05:30,23.2,23.6,23.2,23.35,37942936
2024-01-03 10:00:00+05:30,23.35,23.35,23.2,23.2,8402231
2024-01-03 10:15:00+05:30,23.25,23.3,23.15,23.25,11981897
2024-01-03 10:30:00+05:30,23.3,23.45,23.25,23.4,9568703
2024-01-03 10:45:00+05:30,23.4,23.6,23.35,23.5,22843819
2024-01-03 11:00:00+05:30,23.45,23.6,23.45,23.6,15507262
2024-01-03 11:15:00+05:30,23.6,23.75,23.5,23.55,30605376
2024-01-03 11:30:00+05:30,23.55,23.55,23.4,23.5,15686772
2024-01-03 11:45:00+05:30,23.5,23.5,23.4,23.45,10628621
2024-01-03 12:00:00+05:30,23.45,23.45,23.3,23.4,8918007
2024-01-03 12:15:00+05:30,23.45,23.5,23.2,23.2,17574308
2024-01-03 12:30:00+05:30,23.2,23.35,23.2,23.35,5385485
2024-01-03 12:45:00+05:30,23.35,23.35,23.25,23.35,5322611
2024-01-03 13:00:00+05:30,23.3,23.35,23.2,23.3,6304892
2024-01-03 13:15:00+05:30,23.3,23.3,23.25,23.3,2484482
2024-01-03 13:30:00+05:30,23.3,23.3,23.2,23.25,6496550
2024-01-03 13:45:00+05:30,23.25,23.25,23.2,23.25,2309412
2024-01-03 14:00:00+05:30,23.25,23.25,23.1,23.2,6231519
2024-01-03 14:15:00+05:30,23.2,23.2,23.1,23.2,5822622
2024-01-03 14:30:00+05:30,23.2,23.2,23.1,23.15,4133736
2024-01-03 14:45:00+05:30,23.15,23.15,22.9,23.0,28081551
2024-01-03 15:00:00+05:30,23.0,23.05,22.85,22.95,17151901
2024-01-03 15:15:00+05:30,22.95,23.0,22.75,22.95,32738083
2024-01-04 09:15:00+05:30,23.05,23.3,23.05,23.2,22759657
2024-01-04 09:30:00+05:30,23.15,23.25,23.0,23.05,12679191
2024-01-04 09:45:00+05:30,23.05,23.05,22.9,22.95,9297321
2024-01-04 10:00:00+05:30,22.9,23.1,22.9,23.1,9588463
2024-01-04 10:15:00+05:30,23.05,23.2,23.05,23.15,7271168
2024-01-04 10:30:00+05:30,23.1,23.25,23.1,23.25,7531397
2024-01-04 10:45:00+05:30,23.2,23.45,23.15,23.4,26702381
2024-01-04 11:00:00+05:30,23.45,23.55,23.4,23.5,28510377
2024-01-04 11:15:00+05:30,23.5,23.6,23.45,23.55,16553770
2024-01-04 11:30:00+05:30,23.5,23.55,23.45,23.5,9235297
2024-01-04 11:45:00+05:30,23.5,23.5,23.35,23.35,7274716
2024-01-04 12:00:00+05:30,23.4,23.4,23.35,23.4,2114148
2024-01-04 12:15:00+05:30,23.35,23.45,23.35,23.4,4712372
2024-01-04 12:30:00+05:30,23.35,23.4,23.25,23.3,5435114
2024-01-04 12:45:00+05:30,23.3,23.3,23.25,23.25,3822333
2024-01-04 13:00:00+05:30,23.25,23.3,23.25,23.25,3237624
2024-01-04 13:15:00+05:30,23.3,23.3,23.25,23.3,1763085
2024-01-04 13:30:00+05:30,23.3,23.3,23.2,23.25,3963020
2024-01-04 13:45:00+05:30,23.25,23.25,23.2,23.25,1930864
2024-01-04 14:00:00+05:30,23.25,23.25,23.2,23.2,1640389
2024-01-04 14:15:00+05:30,23.25,23.3,23.2,23.3,3150923
2024-01-04 14:30:00+05:30,23.3,23.35,23.25,23.35,7760679
2024-01-04 14:45:00+05:30,23.3,23.45,23.25,23.25,17940684
2024-01-04 15:00:00+05:30,23.25,23.3,23.2,23.3,12678942
2024-01-04 15:15:00+05:30,23.3,23.35,23.15,23.2,37351008
2024-01-05 09:15:00+05:30,23.35,24.1,23.25,23.65,80083299
2024-01-05 09:30:00+05:30,23.65,23.7,23.6,23.65,9728328
2024-01-05 09:45:00+05:30,23.6,23.8,23.6,23.7,13619604
2024-01-05 10:00:00+05:30,23.7,23.85,23.65,23.75,9355388
2024-01-05 10:15:00+05:30,23.75,24.0,23.75,24.0,25820796
2024-01-05 10:30:00+05:30,23.95,24.0,23.65,23.65,18410674
2024-01-05 10:45:00+05:30,23.65,23.7,23.5,23.65,16116244
2024-01-05 11:00:00+05:30,23.6,23.75,23.6,23.7,6837796
2024-01-05 11:15:00+05:30,23.75,23.75,23.6,23.7,5292413
2024-01-05 11:30:00+05:30,23.7,23.75,23.65,23.75,5660327
2024-01-05 11:45:00+05:30,23.7,24.0,23.65,23.95,23861400
2024-01-05 12:00:00+05:30,23.95,24.25,23.95,24.1,63734356
2024-01-05 12:15:00+05:30,24.05,24.3,24.05,24.25,34555357
2024-01-05 12:30:00+05:30,24.3,24.3,23.95,24.05,48496603
2024-01-05 12:45:00+05:30,24.0,24.05,23.9,23.95,14614539
2024-01-05 13:00:00+05:30,23.9,24.0,23.9,24.0,12208342
2024-01-05 13:15:00+05:30,23.95,24.0,23.85,23.9,6132118
2024-01-05 13:30:00+05:30,23.9,23.9,23.8,23.85,7765696
2024-01-05 13:45:00+05:30,23.85,23.9,23.8,23.85,5150429
2024-01-05 14:00:00+05:30,23.85,23.9,23.6,23.6,15006980
2024-01-05 14:15:00+05:30,23.65,23.7,23.55,23.65,15798071
2024-01-05 14:30:00+05:30,23.65,23.9,23.65,23.8,16813458
